id,label,name,email,phone,city,comments,score,start_date,status
candidate_0,Candidate,Gabriella Lopez,alexander53@patel-cummings.com,+1-473-872-2876x7002,Leeview,,,,
email_0,Email,,alexander53@patel-cummings.com,,,,,,
company_1,Company,Rodriguez-Santana,,,,,,,
skill_react,Skill,React,,,,,,,
skill_java,Skill,Java,,,,,,,
skill_excel,Skill,Excel,,,,,,,
trait_analytical,PersonalityTrait,Analytical,,,,,,,
trait_detail-oriented,PersonalityTrait,Detail-Oriented,,,,,,,
task_write_code,Task,Write Code,,,,,,,
feedback_0,InterviewFeedback,,,,,Rate west plant a pay member.,4.0,,
placement_0,Placement,,,,,,,2020-10-02,Offered
candidate_1,Candidate,Steven Flynn,paynecynthia@gmail.com,470-856-5026x12531,Port Aprilside,,,,
email_1,Email,,paynecynthia@gmail.com,,,,,,
company_17,Company,"White, Wilkins and Mcintyre",,,,,,,
skill_aws,Skill,AWS,,,,,,,
skill_machine learning,Skill,Machine Learning,,,,,,,
skill_python,Skill,Python,,,,,,,
trait_team_player,PersonalityTrait,Team Player,,,,,,,
trait_organized,PersonalityTrait,Organized,,,,,,,
task_prepare_report,Task,Prepare Report,,,,,,,
feedback_1,InterviewFeedback,,,,,Certainly pretty trouble simply home.,5.0,,
placement_1,Placement,,,,,,,2021-01-27,Ongoing
candidate_2,Candidate,Gail Wilson,vreynolds@gibson.com,746.028.5888x258,New Jessicabury,,,,
email_2,Email,,vreynolds@gibson.com,,,,,,
company_7,Company,Smith Ltd,,,,,,,
skill_salesforce,Skill,Salesforce,,,,,,,
task_data_entry,Task,Data Entry,,,,,,,
feedback_2,InterviewFeedback,,,,,Future even media data focus huge voice.,4.0,,
placement_2,Placement,,,,,,,2020-09-06,Completed
candidate_3,Candidate,Kathy Chang,josephhall@stewart.net,(776)049-7563,New Cynthia,,,,
email_3,Email,,josephhall@stewart.net,,,,,,
company_0,Company,Adams Group,,,,,,,
skill_nursing,Skill,Nursing,,,,,,,
task_lead_project,Task,Lead Project,,,,,,,
feedback_3,InterviewFeedback,,,,,Participant manager receive business appear technology gun protect.,2.0,,
placement_3,Placement,,,,,,,2023-07-31,Completed
candidate_4,Candidate,Daniel Cole,patrickshaffer@bennett-baker.com,+1-651-414-8950,Williamsfurt,,,,
email_4,Email,,patrickshaffer@bennett-baker.com,,,,,,
trait_empathetic,PersonalityTrait,Empathetic,,,,,,,
feedback_4,InterviewFeedback,,,,,Blue of white foot positive.,3.0,,
placement_4,Placement,,,,,,,2022-04-06,Ongoing
candidate_5,Candidate,Kristine Cooper,matthew02@gmail.com,6727807825,Patriciabury,,,,
email_5,Email,,matthew02@gmail.com,,,,,,
company_16,Company,Brooks-Johnson,,,,,,,
skill_sql,Skill,SQL,,,,,,,
feedback_5,InterviewFeedback,,,,,Tell leg tonight thought similar eye oil wonder.,5.0,,
placement_5,Placement,,,,,,,2022-09-23,Ongoing
candidate_6,Candidate,Crystal Barron,gary65@yahoo.com,9072304828,West Vincent,,,,
email_6,Email,,gary65@yahoo.com,,,,,,
trait_leader,PersonalityTrait,Leader,,,,,,,
feedback_6,InterviewFeedback,,,,,Difference month billion party newspaper southern minute.,2.0,,
placement_6,Placement,,,,,,,2020-07-29,Offered
candidate_7,Candidate,Jenna Salinas,brownryan@hotmail.com,(852)723-3303x31600,Douglasside,,,,
email_7,Email,,brownryan@hotmail.com,,,,,,
company_2,Company,Gray PLC,,,,,,,
feedback_7,InterviewFeedback,,,,,Among walk room.,4.0,,
placement_7,Placement,,,,,,,2023-09-15,Completed
candidate_8,Candidate,Tammy Torres,jason05@gmail.com,363.866.8361x704,South Jessica,,,,
email_8,Email,,jason05@gmail.com,,,,,,
company_14,Company,"Hunt, Cohen and Little",,,,,,,
feedback_8,InterviewFeedback,,,,,Call least television necessary.,3.0,,
placement_8,Placement,,,,,,,2020-02-24,Completed
candidate_9,Candidate,Harry Cox,rodriguezmaria@gmail.com,001-513-626-2720,Port Laura,,,,
email_9,Email,,rodriguezmaria@gmail.com,,,,,,
company_11,Company,Mack LLC,,,,,,,
trait_creative,PersonalityTrait,Creative,,,,,,,
task_diagnose_patient,Task,Diagnose Patient,,,,,,,
feedback_9,InterviewFeedback,,,,,Allow chair leader view product arrive.,2.0,,
placement_9,Placement,,,,,,,2021-04-16,Offered
candidate_10,Candidate,Michael Taylor,scott33@glover.com,045-653-0081,East Keithberg,,,,
email_10,Email,,scott33@glover.com,,,,,,
company_15,Company,"Carlson, Bass and Meyer",,,,,,,
feedback_10,InterviewFeedback,,,,,Society size painting should teacher table enjoy.,1.0,,
placement_10,Placement,,,,,,,2023-07-31,Completed
candidate_11,Candidate,Kristen Wood,mmcdowell@bailey-vaughn.com,(804)162-9571x983,Reidland,,,,
email_11,Email,,mmcdowell@bailey-vaughn.com,,,,,,
feedback_11,InterviewFeedback,,,,,Day group sing exist three.,3.0,,
placement_11,Placement,,,,,,,2024-08-19,Ongoing
candidate_12,Candidate,Alexander Chandler,michaelgarcia@jacobs.com,(045)246-1948x818,West Justinport,,,,
email_12,Email,,michaelgarcia@jacobs.com,,,,,,
company_13,Company,"Cunningham, Yu and Smith",,,,,,,
skill_emr,Skill,EMR,,,,,,,
feedback_12,InterviewFeedback,,,,,Whatever accept stuff people usually kid.,1.0,,
placement_12,Placement,,,,,,,2023-04-21,Completed
candidate_13,Candidate,Stacey Howard,paulperry@moon.com,284-626-4101,Adamston,,,,
email_13,Email,,paulperry@moon.com,,,,,,
feedback_13,InterviewFeedback,,,,,Research themselves find natural product year program.,4.0,,
placement_13,Placement,,,,,,,2022-08-15,Completed
candidate_14,Candidate,Tyrone Simmons,hendersonmichelle@gmail.com,(083)179-3696,Charlesborough,,,,
email_14,Email,,hendersonmichelle@gmail.com,,,,,,
company_10,Company,Berry-Baker,,,,,,,
feedback_14,InterviewFeedback,,,,,Keep voice understand red.,4.0,,
placement_14,Placement,,,,,,,2021-10-08,Ongoing
candidate_15,Candidate,Brooke Schneider,monroelaura@gilbert-cook.com,+1-661-103-2294x5864,Robertburgh,,,,
email_15,Email,,monroelaura@gilbert-cook.com,,,,,,
task_conduct_interview,Task,Conduct Interview,,,,,,,
feedback_15,InterviewFeedback,,,,,More produce near yard understand three page.,3.0,,
placement_15,Placement,,,,,,,2021-03-23,Offered
candidate_16,Candidate,Linda Beck,plozano@lindsey.com,001-754-899-5320x50917,Karenburgh,,,,
email_16,Email,,plozano@lindsey.com,,,,,,
feedback_16,InterviewFeedback,,,,,With peace discuss himself.,3.0,,
placement_16,Placement,,,,,,,2021-02-25,Ongoing
candidate_17,Candidate,Michelle Gallagher,nicholeflynn@yahoo.com,596-457-2310x82502,Port Deborah,,,,
email_17,Email,,nicholeflynn@yahoo.com,,,,,,
feedback_17,InterviewFeedback,,,,,Season condition newspaper eat well consumer.,2.0,,
placement_17,Placement,,,,,,,2024-02-18,Offered
candidate_18,Candidate,Abigail Moore,bwalker@hotmail.com,650.661.5770x1055,Kimberlyside,,,,
email_18,Email,,bwalker@hotmail.com,,,,,,
company_12,Company,"Solis, Clark and Lynch",,,,,,,
feedback_18,InterviewFeedback,,,,,Live shoulder open game do continue president.,3.0,,
placement_18,Placement,,,,,,,2021-09-20,Ongoing
candidate_19,Candidate,Sara Patterson,sophia24@stephens-craig.com,018.280.9786,Padillaland,,,,
email_19,Email,,sophia24@stephens-craig.com,,,,,,
feedback_19,InterviewFeedback,,,,,Contain director recently say bring.,5.0,,
placement_19,Placement,,,,,,,2020-08-15,Offered
